cp	maxdepth	minsplit	minbucket	ganancia_mean	qty	id
-0.5	6	800	5	9250500	80	1
-0.5	6	600	5	9218000	80	2
-0.5	4	600	5	9147500	80	3
-0.5	4	400	5	9126500	80	4
-0.5	4	800	5	9120000	80	5
-0.5	6	400	5	8983500	80	6
-0.5	4	200	5	8920000	80	7
-0.5	4	100	5	8910000	80	8
-0.5	4	50	5	8877000	80	9
-0.5	4	10	5	8876000	80	10
-0.5	4	20	5	8860000	80	11
-0.5	6	200	5	8752000	80	12
-0.5	8	800	5	8749500	80	13
-0.5	4	1000	5	8732000	80	14
-0.5	8	600	5	8686000	80	15
-0.5	6	1000	5	8675500	80	16
-0.5	6	100	5	8620000	80	17
-0.5	8	400	5	8476000	80	18
-0.5	6	50	5	8475500	80	19
-0.5	10	800	5	8448000	80	20
-0.5	10	600	5	8332500	80	21
-0.5	8	1000	5	8284500	80	22
-0.5	8	200	5	8172500	80	23
-0.5	12	800	5	8157500	80	24
-0.5	10	1000	5	8102000	80	25
-0.5	12	600	5	7999000	80	26
-0.5	12	1000	5	7961500	80	27
-0.5	6	20	5	7943000	80	28
-0.5	14	800	5	7909500	80	29
-0.5	10	400	5	7897000	80	30
-0.5	8	100	5	7885500	80	31
-0.5	6	10	5	7830000	80	32
-0.5	14	1000	5	7814000	80	33
-0.5	12	400	5	7686500	80	34
-0.5	14	600	5	7686500	80	35
-0.5	10	200	5	7651500	80	36
-0.5	8	50	5	7579500	80	37
-0.5	14	400	5	7337000	80	38
-0.5	12	200	5	7332500	80	39
-0.5	10	100	5	7246500	80	40
-0.5	14	200	5	7026000	80	41
-0.5	12	100	5	6987500	80	42
-0.5	10	50	5	6983000	80	43
-0.5	12	50	5	6777500	80	44
-0.5	14	100	5	6622000	80	45
-0.5	8	20	5	6564000	80	46
-0.5	14	50	5	6313000	80	47
-0.5	8	10	5	6190000	80	48
-0.5	10	20	5	5584000	80	49
-0.5	12	20	5	4892000	80	50
-0.5	10	10	5	4654000	80	51
-0.5	14	20	5	4250500	80	52
-0.5	12	10	5	3812500	80	53
-0.5	14	10	5	3092500	80	54
