semilla	cp	maxdepth	minsplit	minbucket	ganancia_test
937589	-0.5	4	1000	5	10330000
462239	-0.5	4	1000	5	11430000
861599	-0.5	4	1000	5	10170000
449671	-0.5	4	1000	5	6900000
241303	-0.5	4	1000	5	4990000
933403	-0.5	4	1000	5	8230000
647201	-0.5	4	1000	5	10910000
338213	-0.5	4	1000	5	9300000
872393	-0.5	4	1000	5	11500000
823789	-0.5	4	1000	5	9e+06
202757	-0.5	4	1000	5	10670000
747427	-0.5	4	1000	5	7320000
706313	-0.5	4	1000	5	10170000
373193	-0.5	4	1000	5	8960000
337903	-0.5	4	1000	5	7060000
643703	-0.5	4	1000	5	8940000
966613	-0.5	4	1000	5	8060000
522317	-0.5	4	1000	5	5020000
896717	-0.5	4	1000	5	7440000
322397	-0.5	4	1000	5	8240000
937589	-0.5	4	1000	5	10330000
462239	-0.5	4	1000	5	11430000
861599	-0.5	4	1000	5	10170000
449671	-0.5	4	1000	5	6900000
241303	-0.5	4	1000	5	4990000
933403	-0.5	4	1000	5	8230000
647201	-0.5	4	1000	5	10910000
338213	-0.5	4	1000	5	9300000
872393	-0.5	4	1000	5	11500000
823789	-0.5	4	1000	5	9e+06
202757	-0.5	4	1000	5	10670000
747427	-0.5	4	1000	5	7320000
706313	-0.5	4	1000	5	10170000
373193	-0.5	4	1000	5	8960000
337903	-0.5	4	1000	5	7060000
643703	-0.5	4	1000	5	8940000
966613	-0.5	4	1000	5	8060000
522317	-0.5	4	1000	5	5020000
896717	-0.5	4	1000	5	7440000
322397	-0.5	4	1000	5	8240000
937589	-0.5	4	1000	5	10330000
462239	-0.5	4	1000	5	11430000
861599	-0.5	4	1000	5	10170000
449671	-0.5	4	1000	5	6900000
241303	-0.5	4	1000	5	4990000
933403	-0.5	4	1000	5	8230000
647201	-0.5	4	1000	5	10910000
338213	-0.5	4	1000	5	9300000
872393	-0.5	4	1000	5	11500000
823789	-0.5	4	1000	5	9e+06
202757	-0.5	4	1000	5	10670000
747427	-0.5	4	1000	5	7320000
706313	-0.5	4	1000	5	10170000
373193	-0.5	4	1000	5	8960000
337903	-0.5	4	1000	5	7060000
643703	-0.5	4	1000	5	8940000
966613	-0.5	4	1000	5	8060000
522317	-0.5	4	1000	5	5020000
896717	-0.5	4	1000	5	7440000
322397	-0.5	4	1000	5	8240000
937589	-0.5	4	1000	5	10330000
462239	-0.5	4	1000	5	11430000
861599	-0.5	4	1000	5	10170000
449671	-0.5	4	1000	5	6900000
241303	-0.5	4	1000	5	4990000
933403	-0.5	4	1000	5	8230000
647201	-0.5	4	1000	5	10910000
338213	-0.5	4	1000	5	9300000
872393	-0.5	4	1000	5	11500000
823789	-0.5	4	1000	5	9e+06
202757	-0.5	4	1000	5	10670000
747427	-0.5	4	1000	5	7320000
706313	-0.5	4	1000	5	10170000
373193	-0.5	4	1000	5	8960000
337903	-0.5	4	1000	5	7060000
643703	-0.5	4	1000	5	8940000
966613	-0.5	4	1000	5	8060000
522317	-0.5	4	1000	5	5020000
896717	-0.5	4	1000	5	7440000
322397	-0.5	4	1000	5	8240000
937589	-0.5	4	800	5	10830000
462239	-0.5	4	800	5	11430000
861599	-0.5	4	800	5	10170000
449671	-0.5	4	800	5	6890000
241303	-0.5	4	800	5	7190000
933403	-0.5	4	800	5	8230000
647201	-0.5	4	800	5	10910000
338213	-0.5	4	800	5	9300000
872393	-0.5	4	800	5	11500000
823789	-0.5	4	800	5	9e+06
202757	-0.5	4	800	5	10670000
747427	-0.5	4	800	5	8050000
706313	-0.5	4	800	5	10170000
373193	-0.5	4	800	5	8960000
337903	-0.5	4	800	5	7970000
643703	-0.5	4	800	5	8940000
966613	-0.5	4	800	5	8060000
522317	-0.5	4	800	5	7850000
896717	-0.5	4	800	5	7440000
322397	-0.5	4	800	5	8840000
937589	-0.5	4	800	5	10830000
462239	-0.5	4	800	5	11430000
861599	-0.5	4	800	5	10170000
449671	-0.5	4	800	5	6890000
241303	-0.5	4	800	5	7190000
933403	-0.5	4	800	5	8230000
647201	-0.5	4	800	5	10910000
338213	-0.5	4	800	5	9300000
872393	-0.5	4	800	5	11500000
823789	-0.5	4	800	5	9e+06
202757	-0.5	4	800	5	10670000
747427	-0.5	4	800	5	8050000
706313	-0.5	4	800	5	10170000
373193	-0.5	4	800	5	8960000
337903	-0.5	4	800	5	7970000
643703	-0.5	4	800	5	8940000
966613	-0.5	4	800	5	8060000
522317	-0.5	4	800	5	7850000
896717	-0.5	4	800	5	7440000
322397	-0.5	4	800	5	8840000
937589	-0.5	4	800	5	10830000
462239	-0.5	4	800	5	11430000
861599	-0.5	4	800	5	10170000
449671	-0.5	4	800	5	6890000
241303	-0.5	4	800	5	7190000
933403	-0.5	4	800	5	8230000
647201	-0.5	4	800	5	10910000
338213	-0.5	4	800	5	9300000
872393	-0.5	4	800	5	11500000
823789	-0.5	4	800	5	9e+06
202757	-0.5	4	800	5	10670000
747427	-0.5	4	800	5	8050000
706313	-0.5	4	800	5	10170000
373193	-0.5	4	800	5	8960000
337903	-0.5	4	800	5	7970000
643703	-0.5	4	800	5	8940000
966613	-0.5	4	800	5	8060000
522317	-0.5	4	800	5	7850000
896717	-0.5	4	800	5	7440000
322397	-0.5	4	800	5	8840000
937589	-0.5	4	800	5	10830000
462239	-0.5	4	800	5	11430000
861599	-0.5	4	800	5	10170000
449671	-0.5	4	800	5	6890000
241303	-0.5	4	800	5	7190000
933403	-0.5	4	800	5	8230000
647201	-0.5	4	800	5	10910000
338213	-0.5	4	800	5	9300000
872393	-0.5	4	800	5	11500000
823789	-0.5	4	800	5	9e+06
202757	-0.5	4	800	5	10670000
747427	-0.5	4	800	5	8050000
706313	-0.5	4	800	5	10170000
373193	-0.5	4	800	5	8960000
337903	-0.5	4	800	5	7970000
643703	-0.5	4	800	5	8940000
966613	-0.5	4	800	5	8060000
522317	-0.5	4	800	5	7850000
896717	-0.5	4	800	5	7440000
322397	-0.5	4	800	5	8840000
937589	-0.5	4	600	5	10830000
